,Date,Title,open,high,low,close,volume_match
3,2022-01-04,"Bài toán hóc búa của Bitcoin, Chủ tịch nước: ""Phải bơm tiền ra nền kinh tế, giải quyết lao động phục vụ tăng trưởng"", USD và chứng khoán tăng mạnh ngay đầu năm mới, 20 cổ phiếu ngân hàng tăng giá phiên đầu năm 2022, TPB lập đỉnh mới, CTG được khối ngoại gom mạnh, Ngân hàng thu ngàn tỷ nhờ bán bảo hiểm, ABBank chuẩn bị chia cổ phiếu thưởng tỷ lệ 35%, Ngân hàng đầu tiên công bố lợi nhuận năm 2021, Đề nghị truy tố 7 cựu lãnh đạo và cán bộ ngân hàng, BVSC: NHNN có thể phải tăng lãi suất điều hành trong năm 2022 do áp lực lạm phát, Kết quả 2021: Đổi mới số đã mang lại cho TPBank nhiều trái ngọt, Lạm phát tăng cao nhưng vẫn tiếp tục nới lỏng tiền tệ trong năm 2022?, Phối hợp chính sách tài khoá và tiền tệ hiệu lực và hiệu quả: Chìa khoá để gói hỗ trợ phát huy tác dụng, SSI: Năm 2022 thắt chặt quản lý chất lượng tài sản ngân hàng, sau 30/6 nợ xấu thực tế sẽ lộ diện, Năm 2022, kênh đầu tư nào sẽ 'hút' tiền?, NHNN bơm gần 10.000 tỷ vào hệ thống ngân hàng trong phiên giao dịch cuối cùng năm 2021, VND có thể mất giá trở lại nếu Fed thu hẹp QE và tăng lãi suất?, Fed muốn thắt chặt CSTT năm 2022: Thị trường chứng khoán Việt Nam và quốc tế thường phản ứng như thế nào trong quá khứ?, Cloudify hợp tác chiến lược với VietinBank ra mắt dịch vụ Bank Feeds",40.645833333333336,41.15833333333333,40.27916666666667,40.74166666666667,9763350.0
4,2022-01-05,"BIDV giảm 50% phí giao dịch tài trợ thương mại và chuyển tiền quốc tế trên iBank, Chiếm dụng hơn 400 tài khoản Facebook để lừa đảo hơn 10 tỉ đồng, NCB có gì mà cổ phiếu NVB tăng kịch trần trong ngày 5/1, giữa lúc dòng bank chìm trong sắc đỏ?, LienVietPostBank hoàn tiền cho chủ thẻ tín dụng JCB khi chi tiêu dịp Tết, Vì sao Gen Z đam mê ngân hàng số?, CCCD bị phạt đến 6 triệu đồng, Thị trường chứng khoán thăng hoa, hơn 12 tỷ cổ phiếu ngân hàng ''bơm'' vào thị trường năm 2021, Ngân hàng Nhà nước ban hành một loạt quy định mới ngày cuối năm 2021, Các ngân hàng đồng loạt kỳ vọng lợi nhuận tăng trong năm 2022, Người nhà Phó Tổng Giám đốc ACB đã bán hơn 460.000 cổ phiếu, Hàng loạt cổ phiếu ngân hàng chìm trong sắc đỏ, Sau 3 tháng nới lỏng giãn cách xã hội, các ngân hàng đã bơm gần 470 nghìn tỷ ra nền kinh tế, Khi nào giá vàng sẽ giảm xuống mức 36 triệu đồng/lượng?, Cổ phiếu TIN chào sàn UPCoM ""tím lịm"" 6 phiên liên tiếp tăng gần 180%, một công ty tài chính khác chuẩn bị lên HoSE, Trái phiếu doanh nghiệp: Chơi dao có ngày đứt tay!, Nhu cầu vàng trang sức tại Trung Quốc tăng mạnh, Muôn vẻ cổ phiếu ngân hàng ""lên sàn"" năm 2021: SSB tăng gấp 3, SHB đi lùi so với giá tham chiếu, USD sẽ ở thế “độc tôn” trong xu hướng tăng giá năm 2022?",40.75416666666667,41.15833333333333,40.104166666666664,40.333333333333336,8901966.666666666
5,2022-01-06,"SSI: Giá cổ phiếu ngân hàng hiện chưa phản ánh hết tăng trưởng khiêm tốn nửa đầu năm 2022, nhắc tên 3 mã có yếu tố hỗ trợ, Bitcoin và Ether lao dốc, chạm đáy nhiều tháng, Thủ tướng: Kiểm soát phát hành trái phiếu doanh nghiệp; uốn nắn ngay, không để vi phạm nhỏ tích tụ thành sai phạm lớn, Lợi nhuận riêng lẻ VietinBank vượt kế hoạch 16.800 tỷ, mục tiêu tăng 10 - 20% năm 2022, Xử lý nợ đầu năm, VietinBank rao bán 85 khoản nợ không tài sản đảm bảo, Sếp TPBank vừa bán xong cổ phiếu tại vùng giá cao nhất kể từ khi niêm yết, Quy định mới về mức phạt trong lĩnh vực tiền tệ, ngân hàng, Ngân hàng số Timo vừa huy động 20 triệu USD từ loạt quỹ VC danh tiếng, Khảo sát của NHNN: Các ngân hàng dự kiến thắt chặt mạnh hơn tín dụng vào chứng khoán, bất động sản, Dự báo lãi suất, tỷ giá năm 2022, USD ngày 5/1 quay đầu giảm, vàng tăng, Bitcoin được kỳ vọng chiếm thị phần của vàng, Đỉnh nào cho giá vàng 2022?, OCB miễn 100% phí chuyển tiền quốc tế, Các ngân hàng nhận định thế nào về nợ xấu quý 4/2021 và quý 1 năm nay?, Thị trường tiền tệ đang trở nên khó lường",40.02916666666667,40.9,39.574999999999996,40.237500000000004,10823300.0
6,2022-01-07,"CLIP: Táo tợn dùng vật giống súng cướp chi nhánh ngân hàng Vietcombank, lấy đi 3 tỉ đồng, BIDV triển khai nhiệm vụ kinh doanh năm 2022, Thống đốc Nguyễn Thị Hồng: ""Phấn đấu"" giảm lãi vay từ 0,5 tới 1% trong 2 năm tới, Cổ phiếu ngân hàng tiếp tục ''rực lửa'' với 17 mã giảm giá: SSB, CTG và TPB dẫn đầu lao dốc, BIDV hé lộ lợi nhuận năm 2021, tỷ lệ nợ xấu gây bất ngờ lớn, Nợ xấu ngân hàng bất ngờ có những tín hiệu tích cực, Nợ xấu sẽ phân hóa ngành ngân hàng năm 2022: Nhà băng nào có cơ hội bứt tốc?, VietinBank ra mắt Bộ nhận diện i-Bank cho hệ thống giao dịch tự động 24/7, Ngân hàng TMCP Quốc Dân chào bán 150 triệu cổ phiếu cho cổ đông hiện hữu, Hậu ""ly hôn"", VPBank thu phí tài khoản Timo 2.500 đồng/lần rút tiền ATM, muốn đóng tài khoản cũng mất 50.000 đồng, Nhiều ngân hàng tăng lãi suất huy động để thu hút dòng vốn, Mua bán, lấy cắp thông tin thẻ ngân hàng sẽ bị phạt tới 150 triệu đồng từ 1/1/2022, USD tăng giá mạnh, vàng và Bitcoin lao dốc, Người dân ngày càng ""xa lánh"" gửi tiết kiệm ngân hàng?, Bước đột phá trong dịch vụ ngân hàng khu vực nông thôn, TPBank dành 1.000 tỷ đồng tài trợ xây dựng trang trại chăn nuôi để cho thuê, ""Ông lớn"" ngân hàng báo lãi năm 2021 đạt hơn 14.000 tỷ đồng, 'Rất nguy hiểm' nếu vay tiền không để sản xuất mà đổ vào bất động sản, chứng khoán",40.27916666666667,40.61666666666667,39.52916666666667,39.90416666666667,8243366.666666667
9,2022-01-10,"Bitcoin lao dốc mạnh xuống dưới 40.000 USD, được dự báo giảm xuống dưới 20.000 USD vào cuối năm, VietinBank là ngân hàng đầu tiên niêm yết trái phiếu sau khi Luật Chứng khoán (mới) có hiệu lực, Giá USD ngân hàng giảm mạnh, trên ""chợ đen"" lại tăng vọt, Dự báo sớm lợi nhuận ngân hàng 2022: Nhà băng nào sẽ tăng trưởng vượt trội?, Các ngân hàng đã hỗ trợ doanh nghiệp và người dân như thế nào trong năm 2021?, Soi nợ xấu của 3 ""ông lớn"" Vietcombank, VietinBank, BIDV, Vietcombank tăng trưởng tín dụng 14,99% trong năm 2021, tỷ lệ dự phòng bao nợ xấu lập kỷ lục mới 424%, Nhiều ngân hàng tăng lãi suất, lãi suất nhóm big4 ngân hàng hiện nay ra sao?, Kiểm soát dòng tiền, không để quay vòng đầu cơ, Loạt chính sách vừa ban hành cuối năm 2021 sẽ ảnh hưởng thế nào đến hoạt động ngân hàng trong năm 2022?, CLIP: Cảnh sát Hình sự ập vào bắt nghi phạm cướp ngân hàng hơn 3 tỉ đồng tại phòng trọ",39.85,40.32083333333333,39.02916666666667,39.333333333333336,7876750.0
10,2022-01-11,"Cổ phiếu ngân hàng vẫn đua nhau lao dốc, NCB triển khai phương thức thanh toán trực tuyến bằng mã VietQR trên Cổng Dịch vụ công Quốc gia, Tài khoản số đẹp của OCB vượt trội nhờ 5 số siêu ngắn, Trích quỹ dự phòng vượt nhiều lần nợ xấu: Các ngân hàng đang ""toan tính'' gì?, Bitcoin đối mặt với một loạt 'cơn gió ngược', Tắt ngay tính năng này trên Telegram nếu bạn không muốn mất hết tiền trong ví điện tử, Đại tá Đinh Văn Nơi trực tiếp chỉ đạo phá vụ án buôn vàng và ngoại tệ “khủng”, Tỷ giá USD/VND lại rơi mạnh trên liên ngân hàng, Techcombank bổ nhiệm Giám đốc Tài chính mới, Kỳ vọng nào cho cổ phiếu ngân hàng năm 2022?, Lo ngân hàng tăng lãi suất cho vay, USD gần chạm đỉnh 16 tháng, bitcoin xuyên thủng ngưỡng 40.000 USD, vàng thấp nhất 3 tuần, “Mở thẻ miễn phí – Quà khủng hết ý” từ BAOVIET Bank, Thanh khoản bớt căng thẳng, lãi suất liên ngân hàng hạ nhiệt trở lại, VPBank: Ngân hàng duy nhất của Việt Nam đoạt giải thưởng quốc tế “Best IR 2021”",39.37916666666667,39.9125,38.74583333333333,39.1,7360033.333333333
11,2022-01-12,"VPBank muốn nâng ''room"" ngoại lên 17,5% thay vì 15% kế hoạch ban đầu, Phó Thủ tướng Lê Minh Khái yêu cầu chú trọng thanh tra các lĩnh vực liên quan đến bất động sản, ngân hàng, Dự báo lợi nhuận quý 4: MB, Techcombank và BIDV tăng mạnh, ACB, Vietcombank và VietinBank sụt giảm, Hai con trai Chủ tịch Tân Hoàng Minh và Ngôi Sao Việt vừa thế chấp 6 triệu cổ phiếu tại 1 ngân hàng, Cổ phiếu ngân hàng bất ngờ ""tỏa sáng"", TPB, BID, STB tăng kịch trần, HSBC: Lạm phát ít khả năng là mối bận tâm lớn của NHNN trong 2022, thị trường bất động sản có thể thu hút nhiều sự quan tâm hơn, Gửi tiền kỳ hạn 1 tháng ở ngân hàng nào lãi suất cao nhất hiện nay?, OCB chuẩn bị phát hành riêng lẻ cho Aozora Bank và ESOP cho cán bộ nhân viên, Thêm ngân hàng lên tiếng khẳng định không cấp tín dụng cho khách hàng đấu giá hay trúng đấu giá đất Thủ Thiêm, Bản Việt đã hỗ trợ 10.000 khách hàng bị ảnh hưởng bởi Covid-19, Fed lại làm khuấy động thị trường tài chính toàn cầu: USD lao dốc, giá Bitcoin, vàng và các loại tiền tiền rủi ro cao bật tăng mạnh, TPBank ký thỏa thuận 50 triệu USD với ADB và DEG, VietCredit thêm tính năng thanh toán online cho thẻ tín dụng nội địa, Nợ xấu, chứng khoán, bất động sản: Những lưu ý cho năm 2022, Vẫn nghiên cứu phương án tăng thuế, “Tân Hoàng Minh rút lui cũng là hoạt động bình thường”, Yuanta Việt Nam: Tăng vốn sẽ là chất xúc tác cho ngành ngân hàng năm 2022, đặc biệt là tại BIDV, Vietcombank và VietinBank, Gói hỗ trợ phục hồi kinh tế sẽ tác động ra sao tới nhóm ngân hàng, cổ phiếu nào hưởng lợi?",39.112500000000004,40.9,38.49166666666667,40.84166666666667,14513583.333333334
12,2022-01-13,"ABBank: Năm 2021 ước lãi 1.979 tỷ đồng, ngày 11/02 chốt danh sách cổ đông chia thưởng tỷ lệ 35%, Techcombank: Nhiều giải pháp tài chính số và ưu đãi lớn cho doanh nghiệp, VietinBank rao bán khoản nợ hàng trăm tỷ thế chấp bằng hơn 7.400m2 đất tại TP HCM, Chủ hụi ở Bình Dương bị tố cáo chiếm đoạt tiền tỷ, Ra mắt ứng dụng Co-opBank Mobile Banking, Sếp ngân hàng Việt được nhận quà nghìn tỷ, Thuê người đóng giả chủ đất, giả hồ sơ để lừa vay ngân hàng hơn 8 tỷ đồng, Dòng tiền đổ mạnh vào cổ phiếu ngân hàng, toàn bộ 27 mã tăng giá, KLB tăng hơn 12%, BID tiếp tục tăng kịch trần, Bitcoin, chứng khoán, các tiền tệ rủi ro và vàng cùng tăng mạnh khi USD lao dốc, OCB thực hiện phát hành 5 triệu cổ phiếu ESOP cho nhân viên, Lạm phát của Mỹ lập đỉnh mới chưa từng có trong 40 năm, thị trường đặt cược tới 85% khả năng Fed tăng lãi suất vào tháng 3, Khẩn trương triển khai các gói hỗ trợ ngay trước Tết Âm lịch",41.275,42.574999999999996,40.6625,41.18333333333333,17398383.333333332
13,2022-01-14,"Ví điện tử 9Pay đạt 1 triệu người dùng, ''Người khổng lồ thức giấc'': Một cổ phiếu nhóm Big4 tăng gần 20% sau 9 phiên đầu năm 2022, Đại án DongA Bank giai đoạn 2: Y án tù chung thân đối với ông Trần Phương Bình, Tăng được 2 phiên, cổ phiếu ngân hàng lại quay đầu giảm hàng loạt, 3 lý do khiến lãi suất huy động tăng trở lại, Quy định cho vay mới làm khó người mua nhà ở xã hội?, Hơn 2.000 người sập bẫy sàn giao dịch tiền ảo Market Pr09.com, Ngân hàng ACB có Tổng giám đốc mới, 3 xu hướng của ngành ngân hàng quyết định sự thành bại trong năm 2022, UOB mua lại mảng bán lẻ của Citigroup tại Việt Nam và 3 nước Đông Nam Á khác, Ngân hàng đầu tiên công bố báo cáo tài chính 2021: Lợi nhuận vượt 7% kế hoạch, nợ xấu giảm, USD tiếp tục giảm sâu, Bitcoin rớt giá mạnh, Gần 9000 quà tặng tri ân khách hàng gửi tiết kiệm đầu năm tại OCB, Ngân hàng ngoại mở rộng thị phần giữa dịch bệnh, OCB ra mắt tính năng VietQR, lợi ích nhân đôi dành cho khách hàng và doanh nghiệp, Hai kịch bản tăng trưởng cung tiền và tín dụng năm 2022",40.800000000000004,41.6625,40.44166666666667,41.24583333333334,7260883.333333333
16,2022-01-17,"Nghị quyết về chính sách tài khóa, tiền tệ hỗ trợ Chương trình phục hồi và phát triển kinh tế - xã hội, Cơ hội trúng iPhone 13 Promax khi gửi tiết kiệm online trên OCB OMNI, Chạy nước rút trước khi hết năm, các ngân hàng bơm ra thị trường 253 nghìn tỷ đồng, Cổ phiếu ngân hàng ''quay đầu'' trong phiên chiều: STB giảm gần sàn, VCB ngược dòng tăng gần 3,4%, Công đoàn VPBank mua thêm cổ phiếu VPB, Hanwha Life Việt Nam trả hơn 286 tỷ đồng quyền lợi bảo hiểm năm 2021, Cổ đông ACB vừa sang tay hơn 9 triệu cổ phiếu, Cổ phiếu Sacombank ''nổi sóng'': Lập đỉnh mới với hơn 335 triệu cổ phiếu được sang tay trong 9 phiên giao dịch đầu năm, Sáng đầu tuần cổ phiếu ngân hàng tăng mạnh, có mã tăng kịch trần, Trung Quốc lần đầu hạ lãi suất trung hạn kể từ tháng 4/2020, Chứng khoán NHSV miễn phí giao dịch, tặng điện thoại Galaxy cho khách hàng VPBank, NHNN ra Chỉ thị số 02, yêu cầu đẩy mạnh chuyển đổi số và bảo đảm an toàn hoạt động ngân hàng trong năm 2022, Bất chấp sự trồi sụt, giới phân tích vẫn lạc quan về triển vọng giá vàng, Ông Nguyễn Khắc Nguyện được bổ nhiệm làm Phó Tổng giám đốc ACB",41.074999999999996,42.20416666666667,39.62083333333333,40.199999999999996,14151141.666666666
